"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"cart:Bounding_Coordinates:1          ","Class","Bounding_Coordinates","1.0.0.0","cart","The Bounding_Coordinates class defines the limits of coverage of a set of data expressed by latitude and longitude values in the order western-most, eastern-most, northern-most, and southern-most. ","img","","","","","","","","","","",""
"cart:Bounding_Coordinates:2           cart:west_bounding_coordinate:1      ","Attribute","west_bounding_coordinate","n/a","cart","The west_bounding_coordinate attribute provides the western-most coordinate of the limit of coverage expressed in longitude.","img","ASCII_Real","1","1","-180.0","360.0","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"cart:Bounding_Coordinates:2           cart:east_bounding_coordinate:1      ","Attribute","east_bounding_coordinate","n/a","cart","The east_bounding_coordinate attribute provides the eastern-most coordinate of the limit of coverage expressed in longitude.","img","ASCII_Real","1","1","-180.0","360.0","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"cart:Bounding_Coordinates:2           cart:north_bounding_coordinate:1     ","Attribute","north_bounding_coordinate","n/a","cart","The north_bounding_coordinate attribute provides the northern-most coordinate of the limit of coverage expressed in latitude.","img","ASCII_Real","1","1","-90.0","90.0","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"cart:Bounding_Coordinates:2           cart:south_bounding_coordinate:1     ","Attribute","south_bounding_coordinate","n/a","cart","The south_bounding_coordinate attribute provides the southern-most coordinate of the limit of coverage expressed in latitude.","img","ASCII_Real","1","1","-90.0","90.0","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"cart:Camera_Model_Offset:1           ","Class","Camera_Model_Offset","1.0.0.0","cart","The Camera_Model_Offset class specifies the location of the image origin with respect to the camera model's origin. For CAHV/CAHVOR models, this origin is not the center of the camera, but is the upper-left corner of the "standard"-size image, which is encoded in the CAHV vectors. Applies to the Perspective lander map projection.","img","","","","","","","","","","",""
"cart:Camera_Model_Offset:2            cart:line:1                          ","Attribute","line","n/a","cart","The line attribute specifies the line number in the image.","img","ASCII_Real","1","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"cart:Camera_Model_Offset:2            cart:sample:1                        ","Attribute","sample","n/a","cart","The sample attribute specifies the sample number.","img","ASCII_Real","1","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"cart:Cartography:1                   ","Class","Cartography","1.0.0.0","cart","The Cartography class provides a description of how a 3D sphere, spheroid, elliptical spheroid, the celestial sphere, in-situ location, or planetary rings are mapped onto a Cartesian, local, or geographic plane. ","img","","","","","","","","","","",""
"cart:Coordinate_Representation:1     ","Class","Coordinate_Representation","1.0.0.0","cart","The Coordinate_Representation class provides the method of encoding the position of a point by measuring its distance from perpendicular reference axes (the "coordinate pair" and "row and column" methods). ","img","","","","","","","","","","",""
